
TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:54 AM,81.0,68.0,65,29.85,9.0,SW,12.7,27.6,N/A,,Scattered Clouds,220,2014-06-18 04:54:00<br />
1:54 AM,81.0,66.9,62,29.86,10.0,SW,12.7,-,N/A,,Partly Cloudy,230,2014-06-18 05:54:00<br />
2:54 AM,79.0,64.9,62,29.86,10.0,WSW,12.7,29.9,N/A,,Clear,240,2014-06-18 06:54:00<br />
3:54 AM,75.0,62.1,64,29.87,10.0,SW,12.7,21.9,N/A,,Clear,220,2014-06-18 07:54:00<br />
4:54 AM,73.0,62.1,68,29.88,10.0,SW,10.4,23.0,N/A,,Clear,220,2014-06-18 08:54:00<br />
5:54 AM,71.1,61.0,70,29.90,10.0,SW,11.5,-,N/A,,Mostly Cloudy,220,2014-06-18 09:54:00<br />
6:54 AM,70.0,62.1,76,29.91,10.0,SW,8.1,-,N/A,,Clear,220,2014-06-18 10:54:00<br />
7:54 AM,73.0,63.0,71,29.91,10.0,WSW,10.4,-,N/A,,Clear,250,2014-06-18 11:54:00<br />
8:42 AM,73.4,62.6,69,29.96,10.0,WSW,8.1,-,N/A,,Overcast,240,2014-06-18 12:42:00<br />
8:54 AM,73.0,64.0,73,29.94,10.0,SW,4.6,-,N/A,,Overcast,230,2014-06-18 12:54:00<br />
9:54 AM,78.1,63.0,60,29.94,10.0,NNW,10.4,-,N/A,,Scattered Clouds,330,2014-06-18 13:54:00<br />
10:54 AM,80.1,61.0,52,29.96,10.0,NNW,10.4,19.6,N/A,,Partly Cloudy,340,2014-06-18 14:54:00<br />
11:54 AM,81.0,60.1,49,29.96,10.0,NW,15.0,25.3,N/A,,Clear,320,2014-06-18 15:54:00<br />
12:54 PM,82.0,62.1,51,29.99,10.0,NNW,16.1,24.2,N/A,,Clear,340,2014-06-18 16:54:00<br />
1:54 PM,82.9,62.1,49,29.95,10.0,NNW,12.7,19.6,N/A,,Clear,340,2014-06-18 17:54:00<br />
2:54 PM,82.9,62.1,49,29.94,10.0,Variable,6.9,-,N/A,,Clear,0,2014-06-18 18:54:00<br />
3:54 PM,84.9,62.1,46,29.94,10.0,West,8.1,16.1,N/A,,Clear,270,2014-06-18 19:54:00<br />
4:54 PM,84.0,61.0,46,29.94,10.0,WNW,9.2,-,N/A,,Clear,290,2014-06-18 20:54:00<br />
5:54 PM,86.0,61.0,43,29.93,10.0,NW,6.9,-,N/A,,Clear,310,2014-06-18 21:54:00<br />
6:54 PM,84.0,61.0,46,29.95,10.0,North,8.1,-,N/A,,Clear,360,2014-06-18 22:54:00<br />
7:54 PM,80.1,63.0,56,29.96,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-06-18 23:54:00<br />
8:54 PM,75.9,64.0,67,29.97,10.0,East,3.5,-,N/A,,Scattered Clouds,90,2014-06-19 00:54:00<br />
9:54 PM,73.9,62.1,66,29.99,10.0,East,3.5,-,N/A,,Clear,90,2014-06-19 01:54:00<br />
10:54 PM,72.0,62.1,71,29.99,10.0,East,4.6,-,N/A,,Clear,90,2014-06-19 02:54:00<br />
11:54 PM,70.0,61.0,73,29.98,10.0,East,3.5,-,N/A,,Clear,100,2014-06-19 03:54:00<br />
